"Sex";"Periods";"Regions";"Population on 1 January (number)"
"Total male and female";"2021";"Bleskensgraaf en Hofwege";
"Total male and female";"2010";"Bloemendaal";22023
"Total male and female";"2020";"Bloemendaal";23571
"Total male and female";"2021";"Bloemendaal";23478
"Total male and female";"2010";"Blokker";
"Total male and female";"2020";"Blokker";
"Total male and female";"2021";"Blokker";
"Total male and female";"2010";"Blokzijl";
"Total male and female";"2020";"Blokzijl";
"Total male and female";"2021";"Blokzijl";
"Total male and female";"2010";"Boarnsterhim";19357
"Total male and female";"2020";"Boarnsterhim";
"Total male and female";"2021";"Boarnsterhim";
"Total male and female";"2010";"Bocholtz";
"Total male and female";"2020";"Bocholtz";
"Total male and female";"2021";"Bocholtz";
"Total male and female";"2010";"Bodegraven";19447
"Total male and female";"2020";"Bodegraven";
"Total male and female";"2021";"Bodegraven";
"Total male and female";"2010";"Bodegraven-Reeuwijk";
"Total male and female";"2020";"Bodegraven-Reeuwijk";34872
"Total male and female";"2021";"Bodegraven-Reeuwijk";35278
"Total male and female";"2010";"Boekel";9772
"Total male and female";"2020";"Boekel";10785
"Total male and female";"2021";"Boekel";10959
"Total male and female";"2010";"Ten Boer";7427
"Total male and female";"2020";"Ten Boer";
"Total male and female";"2021";"Ten Boer";
"Total male and female";"2010";"Bolsward";9905
"Total male and female";"2020";"Bolsward";
"Total male and female";"2021";"Bolsward";
"Total male and female";"2010";"Den Bommel";
"Total male and female";"2020";"Den Bommel";
"Total male and female";"2021";"Den Bommel";
"Total male and female";"2010";"Boornsterhem";
"Total male and female";"2020";"Boornsterhem";
"Total male and female";"2021";"Boornsterhem";
"Total male and female";"2010";"Borculo";
"Total male and female";"2020";"Borculo";
"Total male and female";"2021";"Borculo";
"Total male and female";"2010";"Borger";
"Total male and female";"2020";"Borger";
"Total male and female";"2021";"Borger";
"Total male and female";"2010";"Borger-Odoorn";26072
"Total male and female";"2020";"Borger-Odoorn";25559
"Total male and female";"2021";"Borger-Odoorn";25598
"Total male and female";"2010";"Borgharen";
"Total male and female";"2020";"Borgharen";
"Total male and female";"2021";"Borgharen";
"Total male and female";"2010";"Born";
"Total male and female";"2020";"Born";
"Total male and female";"2021";"Born";
"Total male and female";"2010";"Borne";21330
"Total male and female";"2020";"Borne";23312
"Total male and female";"2021";"Borne";23668
"Total male and female";"2010";"Borsele";22618
"Total male and female";"2020";"Borsele";22739
"Total male and female";"2021";"Borsele";22818
"Total male and female";"2010";"Borssele";
"Total male and female";"2020";"Borssele";
"Total male and female";"2021";"Borssele";
"Total male and female";"2010";"Boskoop";15090
"Total male and female";"2020";"Boskoop";
"Total male and female";"2021";"Boskoop";
"Total male and female";"2010";"Bovenkarspel";
"Total male and female";"2020";"Bovenkarspel";
"Total male and female";"2021";"Bovenkarspel";
"Total male and female";"2010";"Boxmeer";28575
"Total male and female";"2020";"Boxmeer";29365
"Total male and female";"2021";"Boxmeer";29609
"Total male and female";"2010";"Boxtel";30276
"Total male and female";"2020";"Boxtel";30801
"Total male and female";"2021";"Boxtel";32973
"Total male and female";"2010";"Brakel";
"Total male and female";"2020";"Brakel";
"Total male and female";"2021";"Brakel";
"Total male and female";"2010";"Brandwijk";
"Total male and female";"2020";"Brandwijk";
"Total male and female";"2021";"Brandwijk";
"Total male and female";"2010";"Breda";173299
