id;weight;micro;micro_num;ripeness;ripeness_num;cleaning;cleaning_num;temp;temp_cat;fresh;fresh_num;fat;fat_cat;price100g;price_cat;finalscore;top10;outsidetop10;A_d;k30;yr2017;our_unique_id
82;65;Very good;1;Strong;3;Bad;4;8.3;2;Not freshly prepared;0;7.2;1;3.07;2;13.0;0;1;0;1;1;17_092
83;77;Very good;1;Average;2;Very good;1;10.5;3;Freshly prepared;1;11.4;2;2.9;2;11.5;0;1;0;0;1;17_105
84;57;Very good;1;Average;2;Very good;1;6.8;1;Freshly prepared;1;10.5;2;3.5;3;16.5;0;1;0;0;0;16_026
85;63;Passed;2;Average;2;Poor;3;7.9;2;Not freshly prepared;0;12.4;2;3.17;2;12.0;0;1;0;1;1;17_101
86;72;Very good;1;Average;2;Very good;1;3.3;1;Freshly prepared;1;11.7;2;3.72;3;16.3;0;1;0;1;1;17_021
87;75;Very good;1;Average;2;Good;2;6.8;1;Not freshly prepared;0;10.6;2;3.33;2;15.0;0;1;0;1;1;17_060
88;70;Very good;1;Average;2;Very good;1;4.7;1;Freshly prepared;1;17.4;3;3.21;2;16.5;0;1;0;1;0;16_022
89;68;Very good;1;Average;2;Very good;1;10.6;3;Not freshly prepared;0;16.7;3;2.57;1;12.5;0;1;0;0;0;16_091
90;64;Very good;1;Average;2;Very good;1;6.2;1;Not freshly prepared;0;11.8;2;3.12;2;15.0;0;1;0;0;1;17_059
91;62;Very good;1;Average;2;Good;2;7.1;2;Not freshly prepared;0;12.3;2;4.03;3;13.0;0;1;0;1;1;17_091
92;63;Very good;1;Average;2;Very good;1;9.4;2;Freshly prepared;1;12.9;2;2.94;2;16.0;0;1;0;1;1;17_029_16_019
93;75;Very good;1;Strong;3;Good;2;4.8;1;Freshly prepared;1;13.0;2;3.66;3;15.0;0;1;0;0;1;17_054
94;59;Very good;1;Mild;1;Very good;1;6.3;1;Freshly prepared;1;13.4;2;3.38;2;16.5;0;1;0;1;1;17_012_16_028
95;69;Alarm signal;4;Strong;3;Poor;3;5.5;1;Freshly prepared;1;13.4;2;2.89;2;14.5;0;1;0;1;1;17_062
96;63;Very good;1;Strong;3;Good;2;6.9;1;Not freshly prepared;0;11.0;2;3.65;3;11.0;0;1;0;1;1;17_115
97;63;Very good;1;Average;2;Very good;1;6.8;1;Freshly prepared;1;12.1;2;3.3;2;15.5;0;1;0;0;0;16_048
98;59;Very good;1;Rotten;4;Good;2;2.6;1;Not freshly prepared;0;11.1;2;1.93;1;7.5;0;1;0;0;0;16_140
99;72;Passed;2;Strong;3;Good;2;8.2;2;Not freshly prepared;0;14.1;3;2.91;2;13.0;0;1;0;1;0;16_084
100;69;Very good;1;Average;2;Good;2;6.1;1;Freshly prepared;1;11.1;2;2.89;2;15.0;0;1;0;1;1;17_058
101;61;Very good;1;Average;2;Very good;1;2.1;1;Freshly prepared;1;12.3;2;3.03;2;16.5;0;1;0;0;0;16_013
102;77;Very good;1;Strong;3;Good;2;4.1;1;Freshly prepared;1;15.4;3;2.53;1;14.5;0;1;0;1;0;16_067
103;61;Very good;1;Strong;3;Good;2;6.3;1;Freshly prepared;1;9.6;1;3.68;3;13.0;0;1;0;1;0;16_088
104;65;Very good;1;Strong;3;Bad;4;14.3;3;Not freshly prepared;0;12.8;2;3.46;2;7.5;0;1;0;1;1;17_138
105;61;Very good;1;Strong;3;Very good;1;5.1;1;Not freshly prepared;0;16.8;3;1.22;1;10.5;0;1;0;1;0;16_112
106;67;Very good;1;Average;2;Very good;1;3.4;1;Freshly prepared;1;13.9;2;2.98;2;15.5;0;1;0;0;1;17_041_16_033
